9312	528520364	XM_001337519	XM_001337519.3	7955
27256	528475849	XM_005164514	XM_005164514.1	7955
27256	528475847	XM_005164513	XM_005164513.1	7955
27256	528475845	XM_005164512	XM_005164512.1	7955
27256	42415098	BX324164	BX324164.15	7955
11283	528510266	XM_005159670	XM_005159670.1	7955
11283	528510264	XM_003200619	XM_003200619.2	7955
11283	528510262	XM_005159669	XM_005159669.1	7955
11283	528510260	XM_005159668	XM_005159668.1	7955
11283	528510258	XM_005159667	XM_005159667.1	7955
11283	528510256	XM_005159666	XM_005159666.1	7955
11283	528510254	XM_005159665	XM_005159665.1	7955
11283	50080092	BX511004	BX511004.9	7955
27167	94384518	CR396590	CR396590.9	7955
11135	528514418	XM_005161444	XM_005161444.1	7955
11135	156447403	CU302322	CU302322.12	7955
11135	114326247	NM_001048064	NM_001048064.1	7955
11135	34366544	BX004995	BX004995.15	7955
11949	94384518	CR396590	CR396590.9	7955
21560	94384518	CR396590	CR396590.9	7955
6129	94384518	CR396590	CR396590.9	7955
6129	94384518	CR396590	CR396590.9	7955
6129	528492902	XM_001920721	XM_001920721.2	7955
6129	30230940	AL953903	AL953903.8	7955
6129	30230940	AL953903	AL953903.8	7955
6129	30230940	AL953903	AL953903.8	7955
6129	528492954	XM_002663633	XM_002663633.2	7955
6129	528492944	XM_002663628	XM_002663628.2	7955
6129	528492942	XM_001342096	XM_001342096.3	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	90399826	CR925820	CR925820.5	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	45581093	BX530037	BX530037.7	7955
6129	528492904	XR_084325	XR_084325.2	7955
6129	528492946	XM_002663629	XM_002663629.2	7955
6129	125828377	XM_001342220	XM_001342220.1	7955
6980	94384518	CR396590	CR396590.9	7955
6980	94384518	CR396590	CR396590.9	7955
